"articleid","subarticleid","articlename","external_str_id","ecrlongname","ecrsectionid","sectionname","articlebarcode","unitname","sectiontype","rest","flgbase","subarticlebarcode","flg_disable","flg_disable_name","preparemoment_name","baseprice","ecological_class","articletype","article_type_name","tax_system","tag_1212","tag_1162","tag_1162_name","subarticle_marking","subarticle_marking_name","has_any_bc_marking","has_mrc","isloto","class_path","strpath"
"1000358","1000359","СУГ(ГАЗ)","8","ГАЗ сжиженный","174550","ПРОЧИЕ ГСМ","8","л/1000","TYPE_FUEL",NULL,"SET_BASE","8","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000364","1000365","Тестовое Эко Топливо(ТЭТ)","88","Тестовое Эко Топливо","174550","ПРОЧИЕ ГСМ","88","л/1000","TYPE_FUEL",NULL,"SET_BASE","88","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174550","ПРОЧИЕ ГСМ"
"1000370","1000371","ДТ ОПТИ(ДТ-А)","9","ДТ ОПТИ арктическое","174546","ДТ","9","л/1000","TYPE_FUEL",NULL,"SET_BASE","9","SET_NOTDISABLE","В работе","Нет","12300",1,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1000373","1000374","Задаток","94","Задаток","0","АВАНСЫ","bonus_deposit","шт/1","TYPE_DEPOSIT",NULL,"SET_BASE","bonus_deposit","SET_NOTDISABLE","В работе","Нет","10",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"0","АВАНСЫ"
"1000376","1000377","Оплата увоза","95","Оплата увоза","42","ОПЛАТА УВОЗА","supply_deposit","шт/1","TYPE_DEPOSIT",NULL,"SET_BASE","supply_deposit","SET_NOTDISABLE","В работе","Нет","1",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"42","ОПЛАТА УВОЗА"
"1000379","1000380","Авансы (ваучер)","96","Авансы (ваучер)","44","ВАУЧЕР","supply_deposit","руб/100","TYPE_DEPOSIT",NULL,"SET_BASE","supply_deposit","SET_NOTDISABLE","В работе","Нет","100",NULL,"AT_GOODS","Товар","ОСН",10,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"44","ВАУЧЕР"
"1000395","1000396","ДТ тест 1(ДТ тест 2)","99","ДТ тест 3","174546","ДТ","99","л/1000","TYPE_FUEL",NULL,"SET_BASE","99","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"174543.174546","НП/ДТ"
"1003269","1003270","инт Р/ж Orbit крепкие зубы 16,3г","9900000005739","Р/ж Orbit крепкие зубы 16,3г","1000328","Орбит","4009900453776","шт/1","TYPE_GOODS",NULL,"SET_BASE","4009900453776","SET_NOTDISABLE","В работе","Нет","3333",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1000204.1000328","Сопутствующий бизнес New/Cafe/Орбит"
"1004701","1004702","Сигареты Winston blue","9900000010389","Сигареты Winston blue пачка","2","СОП.ТОВАРЫ","9900000010389","шт/1","TYPE_GOODS",NULL,"SET_BASE","9900000010389","SET_NOTDISABLE","В работе","Нет","4400",NULL,"AT_GOODS","Товар","ОСН",2,"UMCTOG_DataMatrixTobacco","Да","UMCTOG_NotMarked","Нет","UMCTOG_DataMatrixTobacco",1,0,"2","СОП.ТОВАРЫ"
"1004701","1004704","Сигареты Winston blue","9900000010389","Сигареты Winston blue пачка","2","СОП.ТОВАРЫ","46209474","шт/1","TYPE_GOODS",NULL,"SET_NOTBASE","46209474","SET_NOTDISABLE","В работе","Нет","4400",NULL,"AT_GOODS","Товар","ОСН",2,"UMCTOG_DataMatrixTobacco","Да","UMCTOG_DataMatrixTobacco","Да","UMCTOG_DataMatrixTobacco",1,0,"2","СОП.ТОВАРЫ"
"1010730","1010731","Абрикос Дары природы сушеный 150г","9900000020617","Абрикос Дары природы сушеный 150г","1000204","Cafe","4600294000449","кг/1000","TYPE_GOODS","9000","SET_BASE","4600294000449","SET_NOTDISABLE","В работе","Нет","3333",NULL,"AT_GOODS","Товар","ОСН",26,"UMCTOG_DataMatrixTobacco","Да","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1000204","Сопутствующий бизнес New/Cafe"
"1021658","1021659","ИнгСтакан DC бум 0,25л","9900000031516","ИнгСтакан DC бум 0,25л 2","200308","Общественное питание 200308","151515","шт/1","TYPE_GOODS","925000","SET_BASE","151515","SET_NOTDISABLE","В работе","Нет","10000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004809.200308","Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308"
"1021969","1021970","ИнгСтакан DC бум XL 0,35л","9900000032562","Ингредиент Стакан Drive Cafe бумажный XL 0,35л","200308","Общественное питание 200308","4640008913474","шт/1","TYPE_GOODS","262000","SET_BASE","4640008913474","SET_NOTDISABLE","В работе","Нет","3000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004809.200308","Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308"
"1021994","1021995","ИнгМол для кафе 1мл_","9900000032765","ИнгМол для кафе 1мл 2_","2","СОП.ТОВАРЫ","15151515","шт/1","TYPE_GOODS","780000","SET_BASE","15151515","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1021994","1021997","ИнгМол для кафе 1мл_","9900000032765","ИнгМол для кафе 1мл 2_","2","СОП.ТОВАРЫ","54667","шт/1","TYPE_GOODS","780000","SET_NOTBASE","54667","SET_NOTDISABLE","В работе","Нет","12300",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"2","СОП.ТОВАРЫ"
"1022005","1022006","ИигКофе для кофе зерно 1_","9900000032788","ИигКофе для кофе зерно 3_","200308","Общественное питание 200308","1234567435219","шт/1","TYPE_GOODS","10908000","SET_BASE","1234567435219","SET_NOTDISABLE","В работе","Нет","20000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004809.200308","Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308"
"1022005","3351448","ИигКофе для кофе зерно 1_","9900000032788","ИигКофе для кофе зерно 3_","200308","Общественное питание 200308","1234567435220","шт/1","TYPE_GOODS","10908000","SET_NOTBASE","1234567435220","SET_NOTDISABLE","В работе","Нет","20000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004809.200308","Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308"
"1049565","1049566","ИнгСтакан DC бум G 0,4л","9900000066887","Ингредиент Стакан Drive Cafe бумажный G 0,4л","1000204","Cafe","4640008915928","шт/1","TYPE_GOODS","213000","SET_BASE","4640008915928","SET_NOTDISABLE","В работе","Нет","2000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1000204","Сопутствующий бизнес New/Cafe"
"1049565","1049568","ИнгСтакан DC бум G 0,4л","9900000066887","Ингредиент Стакан Drive Cafe бумажный G 0,4л","1000204","Cafe","4640008917762","шт/1","TYPE_GOODS","213000","SET_NOTBASE","4640008917762","SET_NOTDISABLE","В работе","Нет","2000",NULL,"AT_GOODS","Товар","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1000204","Сопутствующий бизнес New/Cafe"
"1061631","1061632","Напиток DC м/с коф Капучино 0,2л","9900000072713","Напиток Drive Cafe молокосодержащий кофейный Капучино 0,2л","1004614","Сопутствующий бизнес New","2400000000013","шт/1","TYPE_GOODS","3000","SET_BASE","2400000000013","SET_DISABLE","Блокирован","При продаже","9900",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614","Сопутствующий бизнес New"
"1061634","1061635","Напиток DC м/с коф Латте 0,2л","9900000072714","Напиток Drive Cafe молокосодержащий кофейный Латте 0,2л","1004787","Кофейные напитки с молоком","2400000000020","шт/1","TYPE_GOODS",NULL,"SET_BASE","2400000000020","SET_NOTDISABLE","В работе","При продаже","9800",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061637","1061638","Напиток DC м/с коф Моккачино 0,2л","9900000072715","Напиток Drive Cafe молокосодержащий кофейный Моккачино 0,2л","1004787","Кофейные напитки с молоком","2400000000037","шт/1","TYPE_GOODS","7000","SET_BASE","2400000000037","SET_NOTDISABLE","В работе","При продаже","4500",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061643","1061644","Напиток DC м/с коф Капучино Str 0,2л","9900000072717","Напиток Drive Cafe молокосодержащий кофейный Капучино Strong 0,2л","1004787","Кофейные напитки с молоком","2400000000051","шт/1","TYPE_GOODS","63000","SET_BASE","2400000000051","SET_NOTDISABLE","В работе","При продаже","3400",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061646","1061647","Напиток DC м/с коф Капучино XL 0,3л","9900000072718","Напиток Drive Cafe молокосодержащий кофейный Капучино XL 0,3л","1004787","Кофейные напитки с молоком","2400000000068","шт/1","TYPE_GOODS","17000","SET_BASE","2400000000068","SET_NOTDISABLE","В работе","При продаже","11100",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061649","1061650","Напиток DC м/с коф Латте XL 0,3л","9900000072719","Напиток Drive Cafe молокосодержащий кофейный Латте XL 0,3л","1004787","Кофейные напитки с молоком","2400000000075","шт/1","TYPE_GOODS","1000","SET_BASE","2400000000075","SET_NOTDISABLE","В работе","При продаже","9800",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061652","1061653","Напиток DC м/с коф Моккачино XL 0,3л","9900000072720","Напиток Drive Cafe молокосодержащий кофейный Моккачино XL 0,3л","1004787","Кофейные напитки с молоком","2400000000082","шт/1","TYPE_GOODS","553000","SET_BASE","2400000000082","SET_NOTDISABLE","В работе","При продаже","10200",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061658","1061659","Напиток DC м/с коф Капучино Str XL 0,3л","9900000072722","Напиток Drive Cafe молокосодержащий кофейный Капучино Strong XL 0,3л","1004787","Кофейные напитки с молоком","2400000000105","шт/1","TYPE_GOODS","1000","SET_BASE","2400000000105","SET_NOTDISABLE","В работе","При продаже","9999",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061661","1061662","Напиток DC м/с коф Капучино G 0,4л","9900000072723","Напиток Drive Cafe молокосодержащий кофейный Капучино G 0,4л","1004787","Кофейные напитки с молоком","2400000000112","шт/1","TYPE_GOODS","7000","SET_BASE","2400000000112","SET_NOTDISABLE","В работе","При продаже","10900",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061664","1061665","Напиток DC м/с коф Моккачино G 0,4л","9900000072724","Напиток Drive Cafe молокосодержащий кофейный Моккачино G 0,4л","1004787","Кофейные напитки с молоком","2400000000129","шт/1","TYPE_GOODS","3000","SET_BASE","2400000000129","SET_NOTDISABLE","В работе","При продаже","5600",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
"1061667","1061668","Напиток DC м/с коф Латте G 0,4л","9900000072725","Напиток Drive Cafe молокосодержащий кофейный Латте G 0,4л","1004787","Кофейные напитки с молоком","2400000000136","г/1","TYPE_GOODS","11000","SET_BASE","2400000000136","SET_NOTDISABLE","В работе","При продаже","20000",NULL,"AT_DISH","Блюдо","ОСН",NULL,"UMCTOG_NotMarked","Нет","UMCTOG_NotMarked","Нет","UMCTOG_NotMarked",0,0,"1004614.1004783.1004784.1004787","Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком"
